Day;FH;Diverses;Sola;B+;;;;;;;;;;;;;;;;;
1;10;;;;;;;;;;;;;;;;;;;;
2;10;;;;;;;;;;;;;;;;;;;;
3;10;;;;;;;;;;;;;;;;;;;;
4;10;;;;;;;;;;;;;;;;;;;;
5;10;;;;;;;;;;;;;;;;;;;;
6;10;;;;;;;;;;;;;;;;;;;;
7;10;;;;;;;;;;;;;;;;;;;;
8;10;;;;;;;;;;;;;;;;;;;;
9;10;;;;;;;;;;;;;;;;;;;;
10;10;;;;;;;;;;;;;;;;;;;;
11;10;;;;;;;;;;;;;;;;;;;;
12;10;;;;;;;;;;;;;;;;;;;;
13;10;;;;;;;;;;;;;;;;;;;;
14;10;;;;;;;;;;;;;;;;;;;;
15;;4;20;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;;;;;;;;;;;;;;;
46;;;;;;;;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;;;;
